Fondo,Honorarios Adm. SG
Pellegrini Renta Fija Publica - Clase R Ley N° 27.743,2
Pionero FF - Clase A,2.25
Pionero FF - Clase B,1.8
Pionero Renta Ahorro - Clase A,2.475
Pionero Renta Ahorro - Clase B,1.845
Pionero Renta Ahorro - Clase C,1.845
Pionero Renta Ahorro Plus - Clase A,2.475
Pionero Renta Ahorro Plus - Clase B,2.25
Pionero Renta Ahorro Plus - Clase C,1.575
Pionero Renta Balanceado - Clase A,2.655
Pionero Renta Balanceado - Clase B,2.16
Pionero Renta Balanceado - Clase C,0
Premier Renta Fija Ahorro - Clase A,2.3
Premier Renta Fija Ahorro - Clase B,2.668
Premier Renta Fija Ahorro - Clase C,1.794
Premier Renta Fija Ahorro - Clase Ley Nº 27.743,2.668
Quiron Savings - Clase A,2
Quiron Savings - Clase B,2
SBS Gestion Renta Fija - Clase A,2.5
SBS Gestion Renta Fija - Clase B,2
SBS Gestion Renta Fija - Clase Ley N° 27.743,2.5
SBS Pesos Plus - Clase A,2.5
SBS Pesos Plus - Clase B,1.5
SBS Pesos Plus - Clase Ley N° 27.743,2.5
SBS Tavelli Mix - Clase P,1.82
Schroder Argentina - Clase A,3
Schroder Argentina - Clase B,2.5
Schroder Argentina - Clase C,2.75
Schroder Argentina - Clase D,1.4
Schroder Argentina - Clase F Ley N° 27.743,3
Schroder Capital Renta Fija - Clase A,0.52
Schroder Capital Renta Fija - Clase B,0.52
Schroder Capital Renta Fija - Clase C,0.52
Schroder Corto Plazo - Clase A,3
Schroder Corto Plazo - Clase B,0.47
Schroder Corto Plazo - Clase C,0.52
Schroder Renta Plus - Clase A,3
Schroder Renta Plus - Clase B,2.25
Schroder Renta Plus - Clase C,2
Schroder Renta Plus - Clase D,0.5
Schroder Renta Plus - Clase E Ley N° 27.743,3
Supergestion Mix VI - Clase A,0.7319
Supergestion Mix VI - Clase B,1.0679
Supergestion Mix VI - Clase H,1.4324
Supergestion Mix VI - Clase I,1.0574
Supergestion Mix VI - Clase J Ley N° 27.743,0.7319
Tandem Pesos Ahorro Plus - Clase A,2.5
Tandem Pesos Ahorro Plus - Clase B,2.5
Tandem Pesos Ahorro Plus - Clase C,2.5
Tandem Pesos Ahorro Plus - Clase D,2.5
Toronto Trust Global Capital - Clase A,2.858
Toronto Trust Global Capital - Clase B,2.258
Toronto Trust Global Capital - Clase C,2.558
Toronto Trust Global Capital - Clase Ley N° 27.743,2.858
Toronto Trust Renta Fija - Clase A,2.808
Toronto Trust Renta Fija - Clase B,2.208
Toronto Trust Renta Fija - Clase C,2.508
Toronto Trust Renta Fija - Clase Ley N° 27.743,2.808
Ualintec Pesos Plus - Clase A,2.5
Ualintec Pesos Plus - Clase B,1.65
Ualintec Pesos Plus - Clase C,1.1
Ualintec Renta Fija Pesos - Clase A,2.5
Ualintec Renta Fija Pesos - Clase B,1.65
Ualintec Renta Fija Pesos - Clase C,1.1
Wise Capital Hedge - Clase A,5
Wise Capital Hedge - Clase B,5
Wise Capital Hedge - Clase C,5
Wise Capital Hedge - Clase D,0
Wise Capital Hedge - Clase J Ley N° 27.743,5
Zofingen Pesos 24 - Clase A,2.75
Zofingen Pesos 24 - Clase B,3.6
Zofingen Pesos 24 - Clase C,2.75
Argenfunds Financiamiento Pesos - Clase B,1
Argenfunds Financiamiento Pesos II - Clase A,0.17
Argenfunds Financiamiento Pesos II - Clase B,0.17
Argenfunds Gestión Pesos - Clase A,0
Argenfunds Gestión Pesos - Clase B,1.97
Argenfunds Inversión Pesos - Clase A,0.9248
Argenfunds Inversión Pesos - Clase B,0.9248
Argenfunds Renta Fija II - Clase A,0
Argenfunds Renta Fija II - Clase B,0.55
Balanz Capital Renta Fija - Clase A,2.78
Balanz Capital Renta Fija - Clase B,2.25
Balanz Capital Renta Fija - Clase C,2
Balanz Capital Renta Fija - Clase D,1.9
Balanz Capital Renta Fija - Clase E,2.78
Balanz Capital Renta Fija - Clase F,2.03
Balanz Capital Renta Fija - Clase G,2.78
Balanz Capital Renta Fija - Clase L Ley Nº 27.743,2.78
BAVSA Global III - Clase A,1.2
BAVSA Global III - Clase B,2
BAVSA Global III - Clase C,3
BAVSA Renta Balanceado V - Clase A,2
BAVSA Renta Balanceado V - Clase B,2
BAVSA Renta Balanceado V - Clase C,0.5
BAVSA Renta Balanceado V - Clase D,0.5
BAVSA Renta Balanceado V - Clase E - Ley N° 27.743,0.5
BAVSA Renta Balanceado VI - Clase A,1.9
BAVSA Renta Balanceado VI - Clase B,1.9
BAVSA Renta Balanceado VI - Clase C,1.9
BAVSA Renta Balanceado VI - Clase D,1.9
BAVSA Renta Balanceado VII - Clase A,2
BAVSA Renta Balanceado VII - Clase B,2
BAVSA Renta Balanceado VII - Clase C,2
BAVSA Renta Balanceado VII - Clase D,2
BAVSA Renta Balanceado VIII - Clase A,0.7
BAVSA Renta Balanceado VIII - Clase B,1.9
BAVSA Renta Balanceado VIII - Clase C,0
BAVSA Renta Balanceado VIII - Clase D,0
CMA Estrategia Pesos - Clase A,2.5
CMA Estrategia Pesos - Clase B,1.95
Consultatio Renta y Capital - Clase A,3
Consultatio Renta y Capital - Clase B,1.5
Consultatio Renta y Capital - Clase C,1.5
Delta Federal I - Clase A,3
Delta Federal I - Clase B,2
Delta Federal I - Clase C,0
Delta Gestion III - Clase B,1.1
Delta Gestion IX - Clase A,2.3
Delta Gestion IX - Clase B,2.25
Delta Gestion IX - Clase E,1.8
Delta Gestion VI - Clase A,2.5
Delta Gestion VI - Clase B,2.5
Delta Gestion VI - Clase E,2.5
Delta Gestion VI - Clase K Ley Nº 27.743,2.5
Delta Gestion VI - Clase L Ley Nº 27.743,1.8
Delta Gestion XI - Clase E,0.8
Delta Moneda - Clase A,3
Delta Moneda - Clase B,2.25
Delta Moneda - Clase D,1.5
Delta Renta - Clase A,3.25
Delta Renta - Clase B,2.75
Delta Renta - Clase E,0.85
Delta Renta - Clase K Ley Nº 27.743,3.25
Delta Renta - Clase L Ley Nº 27.743,2.75
Delta Retorno Real - Clase A,2.8
Delta Retorno Real - Clase B,2.3
Delta Retorno Real - Clase E,0.85
FBA Renta Fija Pesos Plus I - Clase A,2.779
FBA Renta Fija Pesos Plus I - Clase B,2.179
Gainvest Crecimiento II - Clase A,5
Gainvest Crecimiento II - Clase B,5
Gainvest Crecimiento III - Clase A,0.9
Gainvest Crecimiento III - Clase B,0.9
Lombard Ahorro Plus - Clase A,0.32
Lombard Ahorro Plus - Clase B,0
Mills Renta Fija Crecimiento Pesos - Clase XDA,2.5
Mills Renta Fija Crecimiento Pesos - Clase XDB1,2.25
Novus Income - Clase A,3
Novus Income - Clase B,3
Novus Income - Clase C,3
Novus Income - Clase D,1
Novus Income - Clase E,1
Novus Income - Clase F,3
Novus Income - Clase G,3
Novus Income - Clase H,3
Novus Low Volatility - Clase A,0.8
Novus Low Volatility - Clase B,0.8
Novus Low Volatility - Clase C,0.8
Novus Renta Fija - Clase A,2.5
Novus Renta Fija - Clase B,1.5
Novus Renta Fija - Clase C,2.5
Novus Renta Fija - Clase D,1.5
Novus Renta Fija - Clase E,2.5
Novus Renta Fija - Clase F,1.5
Novus Renta Fija - Clase G,2.5
Novus Renta Fija - Clase H,1.5
Novus Retorno Total - Clase A,4
Novus Retorno Total - Clase B,3.8
Novus Retorno Total - Clase C,3.5
Optimum Dynamic Balanced Fund - Clase A,3.09
Optimum Dynamic Balanced Fund - Clase B,0.49
Optimum FAE (Fondo de Aplicaciones Especiales),3.4
Pellegrini Crecimiento - Clase A,2.375
Pellegrini Crecimiento - Clase B,1.9
Pellegrini Crecimiento - Clase R Ley N° 27.743,2.375
Quiron Fixed Income - Clase A,3
Quiron Fixed Income - Clase B,3
Quiron Fixed Income - Clase Ley Nº 27.743,3
Schroder Patrimonio - Clase A,3
Schroder Patrimonio - Clase B,2
Schroder Patrimonio - Clase C,0.65
Schroder Renta Performance - Clase A,2.5
Schroder Renta Performance - Clase B,1.85
Schroder Renta Performance - Clase C,0
Schroder Renta Performance - Clase D,0
Schroder Renta Performance - Clase E,0
Schroder Renta Performance - Clase F Ley N° 27.743,2.5
Toronto Trust - Clase A,2.958
Toronto Trust - Clase B,2.358
Toronto Trust - Clase C,2.658
Toronto Trust - Clase Ley N° 27.743,2.958
Toronto Trust Special Opportunities,0.8
Toronto Trust Special Opportunities - Clase A,0.8
Toronto Trust Special Opportunities - Clase B,1.25
Toronto Trust Special Opportunities - Clase C,1.25
Valiant Renta Fija Balanceado III - Clase A,2.5
Valiant Renta Fija Balanceado III - Clase B,2.5
Valiant Renta Fija Balanceado IV - Clase A,2.5
Valiant Renta Fija Balanceado IV - Clase B,2.5
Valiant Renta Fija Balanceado V - Clase A,2
Valiant Renta Fija Balanceado V - Clase B,2.5
Valiant Renta Fija Balanceado VI - Clase A,1.5
Valiant Renta Fija Balanceado VI - Clase B,2
Allaria Renta Fija - Clase A,2.5
Allaria Renta Fija - Clase B,2.25
Allaria Renta Fija - Clase C,2.02
Allaria Renta Mixta II - Clase A,2.5
Allaria Renta Mixta II - Clase B,2.25
Allaria Renta Mixta II - Clase C,2.02
Alpha Planeamiento Conservador - Clase A,2.2096
Alpha Planeamiento Conservador - Clase B,2.8394
Alpha Planeamiento Conservador - Clase C,8.951
Alpha Planeamiento Conservador - Clase D,2.276
Alpha Planeamiento Conservador - Clase I,8.951
Alpha Planeamiento Conservador - Clase J,2.2096
Alpha Planeamiento Conservador - Clase K,2.8394
Alpha Renta Cobertura - Clase A,2.0028
Alpha Renta Cobertura - Clase B,2.8615
Alpha Renta Cobertura - Clase C,1.98
Alpha Renta Cobertura - Clase D,2.43
Alpha Renta Cobertura - Clase I,1.98
Alpha Renta Cobertura - Clase J,2.0028
Alpha Renta Cobertura - Clase K,2.8615
Alpha Renta Crecimiento - Clase A,0.36
Alpha Renta Crecimiento - Clase B,2.49
Alpha Renta Crecimiento - Clase C,0.31
Alpha Renta Crecimiento - Clase D,2.49
Alpha Renta Crecimiento - Clase I,0.31
Alpha Renta Fija Serie 4 - Clase A,2.1836
Alpha Renta Fija Serie 4 - Clase B,2.8506
Alpha Renta Fija Serie 4 - Clase Q Ley N° 27.743,2.866
Alpha Renta Fija Serie 6 - Clase A,2.1638
Alpha Renta Fija Serie 6 - Clase B,8.956
Alpha Renta Fija Serie 7 - Clase A,2.1638
Alpha Renta Fija Serie 7 - Clase B,8.949
Balanz Capital Estrategia I USD - Clase E,0.5
Balanz Credito Privado - Clase A,2
Balanz Credito Privado - Clase B,1.8
Balanz Credito Privado - Clase C,1.6
Balanz Credito Privado - Clase D,0.8
Balanz Excalibur Regisseur - Clase A,2.78
Balanz Excalibur Regisseur - Clase B,2.25
Balanz Excalibur Regisseur - Clase C,3
Balanz Excalibur Regisseur - Clase D,3
Balanz Excalibur Regisseur - Clase E,2.53
Balanz Excalibur Regisseur - Clase F,3.03
Balanz Excalibur Regisseur - Clase G,3.03
Balanz Performance IV - Clase A,0
Balanz Performance IV - Clase B,0
Balanz Performance IV - Clase C,0
Balanz Performance IV - Clase D,0.42
Balanz Performance XII - Clase A,3.5
Balanz Performance XII - Clase B,3
Balanz Performance XII - Clase C,2.1
Balanz Performance XII - Clase D,1.9
Balanz Performance XIII - Clase A,3.5
Balanz Performance XIII - Clase B,3
Balanz Performance XIII - Clase C,2.1
Balanz Performance XIII - Clase D,1.9
Bull Market Renta Fija - Clase A,1
Bull Market Renta Fija - Clase B,1
Champaquí Cobertura - Clase A,2.64
Champaquí Cobertura - Clase B,1.91
Champaquí Cobertura - Clase C,2.64
Champaquí Cobertura - Clase D,1.91
Compass Renta Fija III - Clase A,3.25
Compass Renta Fija III - Clase B,2.15
Compass Renta Fija III - Clase C,1.8
Compass Renta Fija III - Clase H Ley 27.743,3
Compass Renta Fija III - Clase I Ley 27.743,2.05
Consultatio Deuda Argentina - Clase A,3
Consultatio Deuda Argentina - Clase B,2.25
Consultatio Deuda Argentina - Clase C,2
Consultatio Deuda Argentina - Clase Z Ley N° 27.743,2.25
Delta Gestion XII - Clase B,0
FBA Horizonte Plus - Clase A,0.679
FBA Horizonte Plus - Clase B,0.479
Galileo Ahorro Plus - Clase A,2.5
Galileo Ahorro Plus - Clase B,2
IEB Renta Fija - Clase A,2.5
IEB Renta Fija - Clase B,2
IEB Renta Fija - Clase C,0
IEB Renta Fija - Clase Ley N° 27.743,0
Lombard Renta Fija,2.24
MAF Renta - Clase A,2.5
MAF Renta - Clase B,2.3
MAF Renta - Clase RAP Ley N° 27.743,0
Megainver Renta Global - Clase A,2.56
Megainver Renta Global - Clase B,2.22
Megainver Renta Global - Clase C,0
Megainver Renta Global - Clase D,0.5684
MEGAQM Estrategia 7,2.622
Numancia Pesos II - Clase A,0.63
Numancia Pesos II - Clase B,0.63
Numancia Pesos II - Clase C,0.63
Numancia Pesos III - Clase A,0.63
Numancia Pesos III - Clase B,0.63
Numancia Pesos III - Clase C - Ley N° 27.743,0.63
Numancia Pesos III - Clase D - Ley N° 27.743,0
Numancia Pesos IV - Clase A,0.6
Numancia Pesos IV - Clase B,0.6
Numancia Pesos IV - Clase C - Ley N° 27.743,0
Numancia Pesos IV - Clase D - Ley N° 27.743,0
Pionero Capital - Clase A,2.655
Pionero Capital - Clase B,2.16
Pionero Capital - Clase C Ley N° 27.743,2.4075
Pionero Crecimiento - Clase A,1.125
Pionero Crecimiento - Clase B,0.56
Pionero Crecimiento - Clase C,0
Pionero Gestion - Clase A,0.81
Pionero Gestion - Clase B,0.81
Pionero Gestion - Clase C,0.81
Pionero Moneda - Clase A,0
Pionero Moneda - Clase B,0.558
Pionero Moneda - Clase C,0
Pionero Retorno - Clase A,0.6525
Pionero Retorno - Clase B,0.72
Pionero Retorno - Clase C,0
Premier Renta Fija Crecimiento - Clase A,2.3
Premier Renta Fija Crecimiento - Clase B,2.76
Premier Renta Fija Crecimiento - Clase C,0.644
ST Renta Fija - Clase A,2.5
ST Renta Fija - Clase B,2.6
ST Renta Fija - Clase C,0.6
ST Renta Fija - Clase D,1.9
Superfondo Renta Fija - Clase A,0.7319
Superfondo Renta Fija - Clase B,1.1179
Superfondo Renta Fija - Clase F,0.521
Superfondo Renta Fija - Clase H,1.4324
Superfondo Renta Fija - Clase I,1.1074
Superfondo Renta Fija - Clase J  Ley N° 27.743,0.7319
Superfondo Renta Fija - Clase K Ley N° 27.743,1.4324
Zofingen Dollar Linked - Clase A,2.03
Zofingen Dollar Linked - Clase B,2.05
Zofingen Dollar Linked - Clase C,2.03
1810 Ahorros Activos,0.05
1810 Renta Fija Argentina,0.05
1822 Raices Gestion,0.6
1822 Raices Inversion,1.4
1822 Raices Renta en Pesos,1.7
Adcap ASB Multiactivo - Clase A,3.02
Adcap ASB Multiactivo - Clase B,2.52
Adcap ASB Multiactivo - Clase C,2.52
Adcap ASB Multiactivo - Clase Ley Nº 27.743,3.02
Adcap Balance Multiactivo  - Clase A,2.52
Adcap Balance Multiactivo - Clase B,2.02
Adcap Balance Multiactivo - Clase Ley Nº 27.743,2.52
Adcap Balanceado IX - Clase A,1.22
Adcap Balanceado IX - Clase B,1.22
Adcap Balanceado IX - Clase C,0
Adcap Balanceado IX - Clase Ley Nº 27.743,0
Adcap Balanceado VII - Clase A,2
Adcap Balanceado VII - Clase B,2.02
Adcap Balanceado VII - Clase C,0
Adcap Balanceado X - Clase A,2.02
Adcap Balanceado X - Clase B,2.02
Adcap Balanceado X - Clase C,2
Adcap Balanceado X - Clase Ley Nº 27.743,2
Adcap Balanceado XIII - Clase A,0
Adcap Balanceado XIII - Clase B,2.52
Adcap Balanceado XIII - Clase C,0
Adcap Balanceado XVI - Clase A,2.92
Adcap Balanceado XVI - Clase B,2.02
Adcap Balanceado XVI - Clase C,1.67
Adcap Balanceado XVI - Clase Ley Nº 27.743,2.92
Adcap Balanceado XVII - Clase A,1.02
Adcap Balanceado XVII - Clase B,1.02
Adcap Balanceado XVII - Clase C,0
Adcap Balanceado XVII - Clase Ley Nº 27.743,0
Adcap Balanceado XX - Clase B,1.02
Adcap Balanceado XX - Clase Ley Nº 27.743,0
Adcap Cima Ahorro - Clase A,2.77
Adcap Cima Renta Fija Argentina Plus - Clase A,1.6
Adcap Cima Renta Fija Argentina Plus - Clase B,2.3
Adcap Cima Renta Fija Argentina Plus - Clase C,1.62
Adcap Cima Renta Fija Nacional - Clase A,2.27
Adcap Cima Renta Fija Nacional - Clase B,1.52
Adcap Cima Renta Fija Nacional - Clase C,2.02
Adcap Cima Renta Fija Nacional - Clase D,2
Adcap Gestión Estratégica II - Clase B,1.52
Adcap Gestión Estratégica III - Clase A,0
Adcap Gestión Estratégica III - Clase B,0
Adcap Gestión Estratégica III - Clase C,0
Adcap Patrimonio IV - Clase A,1.02
Adcap Patrimonio IV - Clase B,1.02
Adcap Patrimonio IV - Clase Ley Nº 27.743,2
Adcap Renta Fija - Clase A,2.77
Adcap Renta Fija - Clase B,2.22
Adcap Renta Fija - Clase C,1.92
Adcap Renta Fija - Clase Ley Nº 27.743,2.77
Allaria Agro - Clase A,2.5
Allaria Agro - Clase B,2.25
Allaria Agro - Clase C,2.02
Allaria Capital - Clase A,0
Allaria Capital - Clase B,2.52
Allaria Capital - Clase C,2.52
Allaria Capital - Clase D,0
Allaria Dinámico - Clase A,3
Allaria Dinámico - Clase B,3
Allaria Dinámico - Clase C,3
Allaria Dinámico - Clase D,3
Allaria Dinámico - Clase Ley N° 27.743,2
Allaria Estructurado - Clase A,0.5
Allaria Estructurado - Clase B,0.5
Allaria Estructurado - Clase C,0.5
Allaria Estructurado - Clase D,0
Allaria Estructurado - Clase Ley N° 27.743,0.5
Allaria Patrimonio II - Clase A,0
Allaria Patrimonio II - Clase B,0.25
Allaria Patrimonio II - Clase C,0.25
Allaria Patrimonio II - Clase D,0
Allaria Patrimonio V - Clase A,0.5
Allaria Patrimonio V - Clase B,0.5
Allaria Patrimonio V - Clase C,0.5
Allaria Patrimonio V - Clase Ley N° 27.743,0.5
Allaria Principal - Clase A,0
Allaria Principal - Clase B,0.9
Allaria Principal - Clase C,0.6346
Allaria Principal - Clase D,0.65
Allaria Unicred Cobertura - Clase A,2.25
Allaria Unicred Cobertura - Clase B,2.25
Allaria Unicred Cobertura - Clase C,2.25
Allaria Unicred Cobertura - Clase D,0
Allaria Unicred Cobertura - Clase Ley N° 27.743,2.25
Allaria Unicred Empresas - Clase A,2.25
Allaria Unicred Empresas - Clase B,2.25
Allaria Unicred Empresas - Clase C,2.25
Allaria Unicred Empresas - Clase D,0
Allaria Unicred Empresas - Clase Ley N° 27.743,2.25
Alpha Renta Capital - Clase A,1.9936
Alpha Renta Capital - Clase B,2.8462
Alpha Renta Capital - Clase C,1.835
Alpha Renta Capital - Clase D,3.185
Alpha Renta Capital - Clase I,1.835
Alpha Renta Capital Pesos - Clase A,2.188
Alpha Renta Capital Pesos - Clase B,2.8496
Alpha Renta Capital Pesos - Clase J,2.188
Alpha Renta Capital Pesos - Clase K,2.8496
Alpha Renta Capital Pesos - Clase Q Ley N° 27.743,3.415
Alpha Renta Fija Serie 1 - Clase A,8.935
Alpha Renta Fija Serie 1 - Clase B,8.935
Alpha Renta Plus - Clase A,2.1638
Alpha Renta Plus - Clase B,2.8363
Alpha Renta Plus - Clase I,0.67
Alycbur Renta Cobertura  - Clase A,5.02
Alycbur Renta Cobertura  - Clase B,4.92
Alycbur Renta Cobertura - Clase Ley Nº 27.743,0
Argenfunds Renta Argentina - Clase A,0.4491
Argenfunds Renta Argentina - Clase B,0.4491
Argenfunds Renta Balanceada - Clase A,3
Argenfunds Renta Balanceada - Clase B,3
Argenfunds Renta Crecimiento - Clase E,0.25
Argenfunds Renta Crecimiento - Clase F,0.25
Argenfunds Renta Dinamica - Clase A,0.9248
Argenfunds Renta Dinamica - Clase B,0.9248
Argenfunds Renta Fija - Clase A,3.5
Argenfunds Renta Fija - Clase B,2.5
Argenfunds Renta Global - Clase A,3
Argenfunds Renta Global - Clase B,3
Argenfunds Renta Mixta - Clase A,1.9
Argenfunds Renta Mixta - Clase B,1.9
Argenfunds Renta Pesos - Clase A,0.5491
Argenfunds Renta Pesos - Clase B,0.5491
Argenfunds Renta Total - Clase A,3
Argenfunds Renta Total - Clase B,2
Balanz Institucional - Clase A,2.6
Balanz Institucional - Clase B,2.2
Balanz Institucional - Clase C,1.8
Balanz Institucional - Clase D,1.75
Balanz Institucional - Clase E,1.88
Balanz Institucional - Clase F,1.23
Balanz Institucional - Clase G,1.88
Balanz Institucional - Clase L Ley Nº 27.743,2.6
Balanz Lecaps - Clase A,2.45
Balanz Lecaps - Clase B,2
Balanz Lecaps - Clase C,1.65
Balanz Lecaps - Clase D,1.6
Balanz Lecaps - Clase E,5
Balanz Lecaps - Clase F,5
Balanz Lecaps - Clase L Ley Nº 27.743,2.45
Balanz Long Pesos - Clase A,1.9
Balanz Long Pesos - Clase B,1.75
Balanz Long Pesos - Clase C,1.5
Balanz Long Pesos - Clase D,0.9
Balanz Long Pesos - Clase E,1.35
Balanz Long Pesos - Clase F,1.35
Balanz Long Pesos - Clase L Ley N° 27.743,1.1
Balanz Performance I - Clase A,5
Balanz Performance I - Clase B,5
Balanz Performance I - Clase C,5
Balanz Performance I - Clase D,2.75
Balanz Performance I - Clase E,5
Balanz Performance I - Clase F,5
Balanz Performance III - Clase A,2.25
Balanz Performance III - Clase B,2.15
Balanz Performance III - Clase C,2.05
Balanz Performance III - Clase D,2
Balanz Performance III - Clase L Ley Nº 27.743,2.25
BM Active Renta Fija Argentina - Clase A,2
BM Active Renta Fija Argentina - Clase B,1.5
BM Active Renta Fija Argentina - Clase C Ley N° 27.743,2
Bull Market Ahorro Balanceado II - Clase A,4
Bull Market Ahorro Balanceado II - Clase B,4
Bull Market Ahorro Pesos - Clase A,2.5
Bull Market Ahorro Pesos - Clase B,2.5
Bull Market Estrategia - Clase A,2.5
Bull Market Estrategia - Clase B,3.5
Bull Market Renta Fija Plus - Clase A,2.5
Bull Market Renta Fija Plus - Clase B,2.5
Chaco Renta Fija I - Clase A,2
Chaco Renta Fija I - Clase B,2
Champaquí Estratégico - Clase A,2.64
Champaquí Estratégico - Clase B,2.05
Champaquí Renta Futura - Clase B,2.4
Champaquí Renta Futura - Clase D,1.75
CMA Performance - Clase A,2.5
CMA Performance - Clase B,1.95
CMA Performance - Clase Ley N° 27.743,2.5
Compass Opportunity - Clase A,3.6
Compass Opportunity - Clase B,2.15
Compass Opportunity - Clase C,1.85
Compass Renta Fija IV - Clase A,3.25
Compass Renta Fija IV - Clase B,2.2
Compass Renta Fija IV - Clase C,1.85
Compass Renta Fija IV - Clase I Ley 27.743,2.2
Compass Renta Mixta IV - Clase A,1.5
Compass Renta Mixta IV - Clase B,1.5
Compass Renta Mixta IV - Clase C,1.5
Compass Renta Mixta IV - Clase H Ley N° 27.743,1.5
Compass Renta Mixta IV - Clase I Ley N° 27.743,1.5
Consultatio Gestion IX - Clase A,2.5
Consultatio Gestion IX - Clase B,1.8
Consultatio Gestion IX - Clase C,2.5
Consultatio Gestión XII Pesos - Clase A,1.8
Consultatio Gestión XII Pesos - Clase B,1.8
Consultatio Gestión XII Pesos - Clase C,1.8
Consultatio Global - Clase A,5
Consultatio Global - Clase B,4
Consultatio Global - Clase C,0.6
Consultatio Global - Clase D,1.3
Consultatio Multiestrategia - Clase A,3.5
Consultatio Multiestrategia - Clase B,2
Consultatio Multiestrategia - Clase C,1.5
Consultatio Multimercado I - Clase A,0.6
Consultatio Multimercado I - Clase B,0.6
Consultatio Multimercado I - Clase C,0.6
Consultatio Multimercado II - Clase A,0
Consultatio Multimercado II - Clase B,0
Consultatio Multimercado II - Clase C,0
Consultatio Renta Dolares - Clase A,2.25
Consultatio Renta Dolares - Clase B,0.85
Consultatio Renta Dolares - Clase C,0.85
Consultatio Renta Plus,0.54
Crecer Renta Plus - Clase A,3.44
Crecer Renta Plus - Clase B,2.35
CYC Pesos Renta Fija - Clase E Ley N° 27.743,1
CYC Pesos Renta Fija - Clase U,1
CYC Renta Fija en Dolares - Clase A,1
CYC Renta Fija en Dolares - Clase B,1
Dracma Renta Ahorro - Clase A,2.02
Dracma Renta Ahorro - Clase B,2.02
Dracma Renta Ahorro - Clase C,2.02
Dracma Renta Ahorro - Clase D,2.02
FBA Horizonte,1.4
FBA Horizonte - Clase J Ley N° 27.743,1.4
FBA Horizonte - Clase K Ley N° 27.743,1.4
Fima Renta Plus - Clase A,2.5075
Fima Renta Plus - Clase B,2.125
Fima Renta Plus - Clase C,1.87
Fima Renta Plus - Clase E,1.7
First Ahorro Pesos - Clase A,2.5
First Ahorro Pesos - Clase B,2
First Ahorro Pesos - Clase C,1.5
First Ahorro Pesos - Clase D,1
First Crecimiento - Clase A,2
First Crecimiento - Clase B,1.5
First Crecimiento - Clase C,1
First Crecimiento - Clase D,0.65
First Renta Mixta I - Clase A,2
First Renta Mixta I - Clase B,1.5
First Renta Mixta I - Clase C,1.25
First Renta Mixta I - Clase D,1
First Renta Mixta III - Clase A,2
First Renta Mixta III - Clase B,0.6655
First Renta Mixta III - Clase C,0.6655
First Renta Mixta III - Clase D,0.6655
First Renta Mixta IV - Clase A,2
First Renta Mixta IV - Clase B,1.35
First Renta Mixta IV - Clase C,2
First Renta Mixta IV - Clase D,1.35
First Renta Mixta V - Clase A,1.452
First Renta Mixta V - Clase B,1.21
First Renta Mixta V - Clase C,1.452
First Renta Mixta V - Clase D,1.21
First Renta Mixta VI - Clase A,1.8
First Renta Mixta VI - Clase B,0.9
First Renta Mixta VI - Clase C,1.8
First Renta Mixta VI - Clase D,0.9
First Renta Mixta VII - Clase A,2.5
First Renta Mixta VII - Clase B,1
First Renta Mixta VII - Clase C,2.5
First Renta Mixta VII - Clase D,1
First Renta Mixta VIII - Clase A,0.9
First Renta Mixta VIII - Clase B,0.6
First Renta Mixta VIII - Clase C,0.9
First Renta Mixta VIII - Clase D,0.6
Fundcorp Long Performance - Clase A,2.75
Fundcorp Long Performance - Clase B,2.5
Fundcorp Long Performance - Clase C,0.9
Fundcorp Performance Balanceado - Clase A,2.9
Fundcorp Performance Balanceado - Clase B,2.65
Fundcorp Performance Balanceado - Clase C,1.9
Gainvest Balanceado - Clase A,2.5
Gainvest Balanceado - Clase B,2.5
Gainvest Balanceado - Clase C,2.5
Gainvest Balanceado - Clase Ley N° 27.743,2.5
Gainvest Balanceado IV - Clase A,0
Gainvest Balanceado IV - Clase B,0
Gainvest Balanceado IV - Clase C,0
Gainvest Balanceado VIII - Clase A,0.65
Gainvest Balanceado VIII - Clase B,0.65
Gainvest Balanceado VIII - Clase C,0.65
Gainvest Capital - Clase A,2
Gainvest Capital - Clase B,2
Gainvest Capital II - Clase A,0
Gainvest Capital II - Clase B,0.4
Gainvest Estrategia II - Clase A,0
Gainvest Estrategia II - Clase B,0
Gainvest Estrategia III - Clase A,0.65
Gainvest Estrategia III - Clase B,0.65
Gainvest Regional - Clase A,0
Gainvest Regional - Clase B,0
Gainvest Regional - Clase C,0
Gainvest Renta Fija Dolares - Clase E,2
Gainvest Renta Fija Dolares - Clase F,2
Gainvest Renta Fija Plus - Clase A,1.5
Gainvest Renta Fija Plus - Clase B,1.5
Gainvest Renta Fija Plus - Clase C,1.5
Gainvest Renta Fija Proteccion Plus - Clase A,2.5
Gainvest Renta Fija Proteccion Plus - Clase B,2.5
Gainvest Renta Fija Proteccion Plus - Clase C,2.5
Gainvest Renta Fija Proteccion Plus - Clase D,2.5
Gainvest Renta Fija Proteccion Plus - Clase E,2.5
Gainvest Renta Fija Proteccion Plus - Clase F,2.5
Gainvest Renta Fija Proteccion Plus - Clase Ley N° 27.743,2.5
Galileo Blend - Clase A,2
Galileo Blend - Clase B,1.5
Galileo Estrategia - Clase A,2.5
Galileo Estrategia - Clase B,2
