ts,db,coll,op,ms,status,filter
20:30:54.941,admin,,ping,178.8,ok,
20:33:06.040,admin,,ping,178.8,ok,
20:30:57.477,admin,,ping,178.8,ok,
20:33:04.961,admin,,ping,178.8,ok,
20:33:06.760,admin,,ping,178.8,ok,
20:30:58.208,admin,,ping,178.8,ok,
20:33:03.521,admin,,ping,178.8,ok,
20:33:05.320,admin,,ping,178.8,ok,
20:30:34.682,admin,,ping,178.7,ok,
20:30:35.041,admin,,ping,178.7,ok,
20:30:36.490,admin,,ping,178.7,ok,
20:30:55.300,admin,,ping,178.7,ok,
20:33:04.240,admin,,ping,178.7,ok,
20:33:08.970,admin,,ping,178.7,ok,
20:32:20.182,admin,,saslContinue,178.3,ok,
20:32:20.002,admin,,saslStart,178.1,ok,
20:32:20.361,admin,,ping,178.1,ok,
