Cupón,Fecha de pago,Amortización,Amortización,Interés,Interés,Flujo de fondos c/100 vn,Flujo de fondos c/100 vn,Flujo de fondos c/100 vn,Flujo de fondos simulado,Flujo de fondos simulado,Flujo de fondos simulado
#,Efectiva,Amortización (vn),Valor residual,Tasa de interés,Interés (vn),Amortización,Interés,Total,Amortización,Interés,Total
1.00,2021-07-12T00:00:00.000Z,0.00%,100.00%,0.13%,0.11%,0.00,0.11,0.11,0.00,1059.03,1059.03
2.00,2022-01-10T00:00:00.000Z,0.00%,100.00%,2.50%,1.25%,0.00,1.25,1.25,0.00,12500.00,12500.00
3.00,2022-07-11T00:00:00.000Z,0.00%,100.00%,2.50%,1.25%,0.00,1.25,1.25,0.00,12500.00,12500.00
4.00,2023-01-09T00:00:00.000Z,0.00%,100.00%,3.50%,1.75%,0.00,1.75,1.75,0.00,17500.00,17500.00
5.00,2023-07-10T00:00:00.000Z,0.00%,100.00%,3.50%,1.75%,0.00,1.75,1.75,0.00,17500.00,17500.00
6.00,2024-01-09T00:00:00.000Z,0.00%,100.00%,3.50%,1.75%,0.00,1.75,1.75,0.00,17500.00,17500.00
7.00,2024-07-10T00:00:00.000Z,0.00%,100.00%,3.50%,1.75%,0.00,1.75,1.75,0.00,17500.00,17500.00
8.00,2025-01-09T00:00:00.000Z,0.00%,100.00%,3.50%,1.75%,0.00,1.75,1.75,0.00,17500.00,17500.00
9.00,2025-07-10T00:00:00.000Z,0.00%,100.00%,3.50%,1.75%,0.00,1.75,1.75,0.00,17500.00,17500.00
10.00,2026-01-09T00:00:00.000Z,0.00%,100.00%,3.50%,1.75%,0.00,1.75,1.75,0.00,17500.00,17500.00
11.00,2026-07-13T00:00:00.000Z,0.00%,100.00%,3.50%,1.75%,0.00,1.75,1.75,0.00,17500.00,17500.00
12.00,2027-01-11T00:00:00.000Z,0.00%,100.00%,3.50%,1.75%,0.00,1.75,1.75,0.00,17500.00,17500.00
13.00,2027-07-12T00:00:00.000Z,0.00%,100.00%,3.50%,1.75%,0.00,1.75,1.75,0.00,17500.00,17500.00
14.00,2028-01-10T00:00:00.000Z,3.57%,96.43%,3.50%,1.75%,3.57,1.75,5.32,35714.29,17500.00,53214.29
15.00,2028-07-10T00:00:00.000Z,3.57%,92.86%,3.50%,1.69%,3.57,1.69,5.26,35714.29,16875.00,52589.29
16.00,2029-01-09T00:00:00.000Z,3.57%,89.29%,3.50%,1.62%,3.57,1.62,5.20,35714.29,16250.00,51964.29
17.00,2029-07-10T00:00:00.000Z,3.57%,85.71%,3.50%,1.56%,3.57,1.56,5.13,35714.29,15625.00,51339.29
18.00,2030-01-09T00:00:00.000Z,3.57%,82.14%,4.88%,2.09%,3.57,2.09,5.66,35714.29,20892.86,56607.14
19.00,2030-07-10T00:00:00.000Z,3.57%,78.57%,4.88%,2.00%,3.57,2.00,5.57,35714.29,20022.32,55736.61
20.00,2031-01-09T00:00:00.000Z,3.57%,75.00%,4.88%,1.92%,3.57,1.92,5.49,35714.29,19151.79,54866.07
21.00,2031-07-09T00:00:00.000Z,3.57%,71.43%,4.88%,1.83%,3.57,1.83,5.40,35714.29,18281.25,53995.53
22.00,2032-01-09T00:00:00.000Z,3.57%,67.86%,4.88%,1.74%,3.57,1.74,5.31,35714.29,17410.71,53125.00
23.00,2032-07-09T00:00:00.000Z,3.57%,64.29%,4.88%,1.65%,3.57,1.65,5.23,35714.29,16540.18,52254.46
24.00,2033-01-10T00:00:00.000Z,3.57%,60.71%,4.88%,1.57%,3.57,1.57,5.14,35714.29,15669.64,51383.93
25.00,2033-07-11T00:00:00.000Z,3.57%,57.14%,4.88%,1.48%,3.57,1.48,5.05,35714.29,14799.11,50513.39
26.00,2034-01-09T00:00:00.000Z,3.57%,53.57%,4.88%,1.39%,3.57,1.39,4.96,35714.29,13928.57,49642.86
27.00,2034-07-10T00:00:00.000Z,3.57%,50.00%,4.88%,1.31%,3.57,1.31,4.88,35714.29,13058.03,48772.32
28.00,2035-01-09T00:00:00.000Z,3.57%,46.43%,4.88%,1.22%,3.57,1.22,4.79,35714.29,12187.50,47901.78
29.00,2035-07-09T00:00:00.000Z,3.57%,42.86%,4.88%,1.13%,3.57,1.13,4.70,35714.29,11316.96,47031.25
30.00,2036-01-09T00:00:00.000Z,3.57%,39.29%,4.88%,1.04%,3.57,1.04,4.62,35714.29,10446.43,46160.71
31.00,2036-07-09T00:00:00.000Z,3.57%,35.71%,4.88%,0.96%,3.57,0.96,4.53,35714.29,9575.89,45290.18
32.00,2037-01-09T00:00:00.000Z,3.57%,32.14%,4.88%,0.87%,3.57,0.87,4.44,35714.29,8705.36,44419.64
33.00,2037-07-09T00:00:00.000Z,3.57%,28.57%,4.88%,0.78%,3.57,0.78,4.35,35714.29,7834.82,43549.11
34.00,2038-01-11T00:00:00.000Z,3.57%,25.00%,4.88%,0.70%,3.57,0.70,4.27,35714.29,6964.28,42678.57
35.00,2038-07-09T00:00:00.000Z,3.57%,21.43%,4.88%,0.61%,3.57,0.61,4.18,35714.29,6093.75,41808.03
36.00,2039-01-10T00:00:00.000Z,3.57%,17.86%,4.88%,0.52%,3.57,0.52,4.09,35714.29,5223.21,40937.50
37.00,2039-07-11T00:00:00.000Z,3.57%,14.29%,4.88%,0.44%,3.57,0.44,4.01,35714.29,4352.68,40066.96
38.00,2040-01-09T00:00:00.000Z,3.57%,10.71%,4.88%,0.35%,3.57,0.35,3.92,35714.29,3482.14,39196.43
39.00,2040-07-09T00:00:00.000Z,3.57%,7.14%,4.88%,0.26%,3.57,0.26,3.83,35714.29,2611.60,38325.89
40.00,2041-01-09T00:00:00.000Z,3.57%,3.57%,4.88%,0.17%,3.57,0.17,3.75,35714.29,1741.07,37455.35
41.00,2041-07-09T00:00:00.000Z,3.57%,0.00%,4.88%,0.09%,3.57,0.09,3.66,35714.17,870.53,36584.70
