Cupón,Fecha de pago,Amortización,Amortización,Interés,Interés,Flujo de fondos c/100 vn,Flujo de fondos c/100 vn,Flujo de fondos c/100 vn,Flujo de fondos simulado,Flujo de fondos simulado,Flujo de fondos simulado
#,Efectiva,Amortización (vn),Valor residual,Tasa de interés,Interés (vn),Amortización,Interés,Total,Amortización,Interés,Total
1.00,2026-06-01T00:00:00.000Z,0.00%,100.00%,6.50%,3.03%,0.00,3.03,3.03,0.00,30333.33,30333.33
2.00,2026-11-30T00:00:00.000Z,0.00%,100.00%,6.50%,3.25%,0.00,3.25,3.25,0.00,32500.00,32500.00
3.00,2027-05-31T00:00:00.000Z,0.00%,100.00%,6.50%,3.25%,0.00,3.25,3.25,0.00,32500.00,32500.00
4.00,2027-11-30T00:00:00.000Z,0.00%,100.00%,6.50%,3.25%,0.00,3.25,3.25,0.00,32500.00,32500.00
5.00,2028-05-30T00:00:00.000Z,0.00%,100.00%,6.50%,3.25%,0.00,3.25,3.25,0.00,32500.00,32500.00
6.00,2028-11-30T00:00:00.000Z,0.00%,100.00%,6.50%,3.25%,0.00,3.25,3.25,0.00,32500.00,32500.00
7.00,2029-05-30T00:00:00.000Z,0.00%,100.00%,6.50%,3.25%,0.00,3.25,3.25,0.00,32500.00,32500.00
8.00,2029-11-30T00:00:00.000Z,100.00%,0.00%,6.50%,3.25%,100.00,3.25,103.25,1000000.00,32500.00,1032500.00
