Cupón,Fecha de pago,Amortización,Amortización,Interés,Interés,Flujo de fondos c/100 vn,Flujo de fondos c/100 vn,Flujo de fondos c/100 vn,Flujo de fondos simulado,Flujo de fondos simulado,Flujo de fondos simulado
#,Efectiva,Amortización (vn),Valor residual,Tasa de interés,Interés (vn),Amortización,Interés,Total,Amortización,Interés,Total
1.00,2021-07-12T00:00:00.000Z,0.00%,100.00%,1.00%,0.85%,0.00,0.85,0.85,0.00,8472.22,8472.22
2.00,2022-01-10T00:00:00.000Z,0.00%,100.00%,1.00%,0.50%,0.00,0.50,0.50,0.00,5000.00,5000.00
3.00,2022-07-11T00:00:00.000Z,0.00%,100.00%,1.00%,0.50%,0.00,0.50,0.50,0.00,5000.00,5000.00
4.00,2023-01-09T00:00:00.000Z,0.00%,100.00%,1.00%,0.50%,0.00,0.50,0.50,0.00,5000.00,5000.00
5.00,2023-07-10T00:00:00.000Z,0.00%,100.00%,1.00%,0.50%,0.00,0.50,0.50,0.00,5000.00,5000.00
6.00,2024-01-09T00:00:00.000Z,0.00%,100.00%,1.00%,0.50%,0.00,0.50,0.50,0.00,5000.00,5000.00
7.00,2024-07-10T00:00:00.000Z,0.00%,100.00%,1.00%,0.50%,0.00,0.50,0.50,0.00,5000.00,5000.00
8.00,2025-01-09T00:00:00.000Z,10.00%,90.00%,1.00%,0.50%,10.00,0.50,10.50,100000.00,5000.00,105000.00
9.00,2025-07-10T00:00:00.000Z,10.00%,80.00%,1.00%,0.45%,10.00,0.45,10.45,100000.00,4500.00,104500.00
10.00,2026-01-09T00:00:00.000Z,10.00%,70.00%,1.00%,0.40%,10.00,0.40,10.40,100000.00,4000.00,104000.00
11.00,2026-07-13T00:00:00.000Z,10.00%,60.00%,1.00%,0.35%,10.00,0.35,10.35,100000.00,3500.00,103500.00
12.00,2027-01-11T00:00:00.000Z,10.00%,50.00%,1.00%,0.30%,10.00,0.30,10.30,100000.00,3000.00,103000.00
13.00,2027-07-12T00:00:00.000Z,10.00%,40.00%,1.00%,0.25%,10.00,0.25,10.25,100000.00,2500.00,102500.00
14.00,2028-01-10T00:00:00.000Z,10.00%,30.00%,1.00%,0.20%,10.00,0.20,10.20,100000.00,2000.00,102000.00
15.00,2028-07-10T00:00:00.000Z,10.00%,20.00%,1.00%,0.15%,10.00,0.15,10.15,100000.00,1500.00,101500.00
16.00,2029-01-09T00:00:00.000Z,10.00%,10.00%,1.00%,0.10%,10.00,0.10,10.10,100000.00,1000.00,101000.00
17.00,2029-07-10T00:00:00.000Z,10.00%,0.00%,1.00%,0.05%,10.00,0.05,10.05,100000.00,500.00,100500.00
