boleto,concertacion,id_cuenta,denominacion,mercado,moneda,operacion,tipo_operacion,instrumento,segmento,nivel_3,etapa,es_cierre,cantidad_ops,bruto,arancel,mep,estado_match,n_movimientos,tasa_pct,tasa_raw,cod_instrumento,nominal_info,nm_fecha,nm_ticker,nm_categoria,nm_op,nm_cantidad,nm_precio,nm_importe,nm_moneda,nm_plazo,nm_estado,nm_cuenta,nm_informacion,nm_cantidad_total_boleto,nm_importe_total_boleto
BOL 2026124739,2026-07-30,187,COOPERATIVA AGRICOLA LA VENCEDORA LIMITADA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UAC280770002] #UAC280770002 Nro. 158729 Vto. 30/07/2027,COOPERATIVAS,PJ GRANDE,,NO,100000,141187180.14,1492252.51,1505.14,OK,1,6.0,6,#UAC280770002,100000.0,2026-07-30,,otro,,100000,,-143044056.62,ARS,,DIS,[187] COOPERATIVA AGRICOLA LA VENCEDORA LIMITADA,"Compra [#UAC280770002] 100.000,00@6% (ARS 24hs)",100000,-143044056.62
BOL 2026124740,2026-07-30,187,COOPERATIVA AGRICOLA LA VENCEDORA LIMITADA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UBI300770001] #UBI300770001 Nro. 158771 Vto. 03/08/2027,COOPERATIVAS,PJ GRANDE,,NO,50000,70549829.25,754325.44,1505.14,OK,1,6.0,6,#UBI300770001,50000.0,2026-07-30,,otro,,50000,,-71488172.62,ARS,,DIS,[187] COOPERATIVA AGRICOLA LA VENCEDORA LIMITADA,"Compra [#UBI300770001] 50.000,00@6% (ARS 24hs)",50000,-71488172.62
BOL 2026124741,2026-07-30,187,COOPERATIVA AGRICOLA LA VENCEDORA LIMITADA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UBI300770002] #UBI300770002 Nro. 158770 Vto. 03/08/2027,COOPERATIVAS,PJ GRANDE,,NO,50000,70549829.25,754325.44,1505.14,OK,1,6.0,6,#UBI300770002,50000.0,2026-07-30,,otro,,50000,,-71488172.62,ARS,,DIS,[187] COOPERATIVA AGRICOLA LA VENCEDORA LIMITADA,"Compra [#UBI300770002] 50.000,00@6% (ARS 24hs)",50000,-71488172.62
BOL 2026124742,2026-07-30,187,COOPERATIVA AGRICOLA LA VENCEDORA LIMITADA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UAC140770002] #UAC140770002 Nro. 158727 Vto. 16/07/2027,COOPERATIVAS,PJ GRANDE,,NO,100000,141494441.08,1434858.18,1505.14,OK,1,6.0,6,#UAC140770002,100000.0,2026-07-30,,otro,,100000,,-143281981.96,ARS,,DIS,[187] COOPERATIVA AGRICOLA LA VENCEDORA LIMITADA,"Compra [#UAC140770002] 100.000,00@6% (ARS 24hs)",100000,-143281981.96
BOL 2026125080,2026-07-30,823,AGRICULTORES UNIDOS DE TANCACHA COOPERATIVA AGRICOLA LIMITADA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UCO310770001] #UCO310770001 Nro. 158935 Vto. 04/08/2027,COOPERATIVAS,PJ GRANDE,,NO,30000,41916234.01,455055.02,1505.14,OK,1,7.0,7,#UCO310770001,30000.0,2026-07-30,,otro,,30000,,-42482066.17,ARS,,DIS,[823] AGRICULTORES UNIDOS DE TANCACHA COOPERATIVA AGRICOLA LIMITADA,"Compra [#UCO310770001] 30.000,00@7% (ARS Inm)",30000,-42482066.17
BOL 2026125081,2026-07-30,734,GMu SRL,MAV,ARS,Subasta Pagares,Pagarés - Subasta,[#UCO310770001] #UCO310770001 Nro. 158935 Vto. 04/08/2027,PRODUCTORES,PJ PEQUEÑA,,NO,30000,41916234.01,455055.02,1505.14,OK,1,7.0,7,#UCO310770001,30000.0,2026-07-30,,otro,,-30000,,41335186.25,ARS,,DIS,[734] GMu SRL,"Subasta [#UCO310770001] 30.000,00@7% (ARS Inm)",-30000,41335186.25
BOL 2026123956,2026-07-29,147,COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UPO200770001] #UPO200770001 Nro. 158773 Vto. 22/07/2027,COOPERATIVAS,PJ GRANDE,,NO,16960,23916742.88,248797.35,1528.9329,OK,1,6.5,"6,5",#UPO200770001,16960.0,2026-07-29,,otro,,16960,,-24226469.44,ARS,,DIS,[147] COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,"Compra [#UPO200770001] 16.960,00@6,5% (ARS 24hs)",16960,-24226469.44
BOL 2026123957,2026-07-29,147,COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UPO300770006] #UPO300770006 Nro. 158774 Vto. 03/08/2027,COOPERATIVAS,PJ GRANDE,,NO,17020,23953233.96,258070.05,1528.9329,OK,1,6.5,"6,5",#UPO300770006,17020.0,2026-07-29,,otro,,17020,,-24274193.74,ARS,,DIS,[147] COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,"Compra [#UPO300770006] 17.020,00@6,5% (ARS 24hs)",17020,-24274193.74
BOL 2026123958,2026-07-29,147,COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UPO120770002] #UPO120770002 Nro. 158772 Vto. 14/07/2027,COOPERATIVAS,PJ GRANDE,,NO,16910,23878227.02,242505.02,1528.9329,OK,1,6.5,"6,5",#UPO120770002,16910.0,2026-07-29,,otro,,16910,,-24180325.89,ARS,,DIS,[147] COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,"Compra [#UPO120770002] 16.910,00@6,5% (ARS 24hs)",16910,-24180325.89
BOL 2026124322,2026-07-29,147,COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UDO160770002] #UDO160770002 Nro. 158276 Vto. 20/07/2027,COOPERATIVAS,PJ GRANDE,,NO,7732.77,10873770.33,112701.77,1528.9329,OK,1,6.75,"6,75",#UDO160770002,7732.77,2026-07-29,,otro,,7732.77,,-11014143.25,ARS,,DIS,[147] COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,"Compra [#UDO160770002] 7.732,77@6,75% (ARS 24hs)",7732.77,-11014143.25
BOL 2026123338,2026-07-28,147,COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UBI150470002] #UBI150470002 Nro. 158500 Vto. 19/04/2027,COOPERATIVAS,PJ GRANDE,,NO,100000,144118029.08,1083855.04,1535.1218,OK,1,5.5,"5,5",#UBI150470002,100000.0,2026-07-28,,otro,,100000,,-145481808.53,ARS,,DIS,[147] COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,"Compra [#UBI150470002] 100.000,00@5,5% (ARS 24hs)",100000,-145481808.53
BOL 2026123359,2026-07-28,147,COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UPO300770005] #UPO300770005 Nro. 158560 Vto. 03/08/2027,COOPERATIVAS,PJ GRANDE,,NO,35000,49440831.09,531663.74,1535.1218,OK,1,6.0,6,#UPO300770005,35000.0,2026-07-28,,otro,,35000,,-50102091.24,ARS,,DIS,[147] COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,"Compra [#UPO300770005] 35.000,00@6% (ARS 24hs)",35000,-50102091.24
BOL 2026123433,2026-07-28,930,"FASSI , HUBER ROMEL",MAV,ARS,Subasta Pagares,Pagarés - Subasta,[#UCO281260001] #UCO281260001 Nro. 158596 Vto. 30/12/2026,PRODUCTORES,PH ALTO PATRIMONIO,,NO,40000,59044825.6,258191.78,1535.1218,OK,1,7.0,7,#UCO281260001,40000.0,2026-07-28,,otro,,-40000,,58689547,ARS,,DIS,"[930]  FASSI , HUBER ROMEL","Subasta [#UCO281260001] 40.000,00@7% (ARS Inm)",-40000,58689547
BOL 2026123434,2026-07-28,153,COOPERATIVA AGROPECUARIA LTDA DE MAXIMO PAZ,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UCO281260001] #UCO281260001 Nro. 158596 Vto. 30/12/2026,COOPERATIVAS,PJ GRANDE,,NO,40000,59044825.6,258191.78,1535.1218,OK,1,7.0,7,#UCO281260001,40000.0,2026-07-28,,otro,,40000,,-59378670.92,ARS,,DIS,[153] COOPERATIVA AGROPECUARIA LTDA DE MAXIMO PAZ,"Compra [#UCO281260001] 40.000,00@7% (ARS Inm)",40000,-59378670.92
BOL 2026123562,2026-07-28,147,COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UPO230670003] #UPO230670003 Nro. 158611 Vto. 25/06/2027,COOPERATIVAS,PJ GRANDE,,NO,41770,59108659.15,567622.68,1535.1218,OK,1,6.5,"6,5",#UPO230670003,41770.0,2026-07-28,,otro,,41770,,-59816939.04,ARS,,DIS,[147] COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,"Compra [#UPO230670003] 41.770,00@6,5% (ARS 24hs)",41770,-59816939.04
BOL 2026123563,2026-07-28,147,COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UPO240570001] #UPO240570001 Nro. 158609 Vto. 27/05/2027,COOPERATIVAS,PJ GRANDE,,NO,41350,58801089.62,512683.96,1535.1218,OK,1,6.5,"6,5",#UPO240570001,41350.0,2026-07-28,,otro,,41350,,-59442782.01,ARS,,DIS,[147] COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,"Compra [#UPO240570001] 41.350,00@6,5% (ARS 24hs)",41350,-59442782.01
BOL 2026123564,2026-07-28,147,COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UPO240470001] #UPO240470001 Nro. 158607 Vto. 28/04/2027,COOPERATIVAS,PJ GRANDE,,NO,40940,58504773.92,458857.42,1535.1218,OK,1,6.5,"6,5",#UPO240470001,40940.0,2026-07-28,,otro,,40940,,-59081228.63,ARS,,DIS,[147] COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,"Compra [#UPO240470001] 40.940,00@6,5% (ARS 24hs)",40940,-59081228.63
BOL 2026123789,2026-07-28,247,COOPERATIVA AGROPECUARIA DE VENADO TUERTO LIMITADA,MAV,ARS,Compras ECHEQ,ECHEQ - Compra,[*MAV300402046] *MAV300402046 Nro. 68430399 Vto. 04/05/2027,COOPERATIVAS,PJ PEQUEÑA,,NO,26900000,21882103.86,205619.18,1535.1218,OK,1,30.0,30,*MAV300402046,26900000.0,2026-07-28,,otro,,26900000,,-22138846.27,ARS,,DIS,[247] COOPERATIVA AGROPECUARIA DE VENADO TUERTO LIMITADA,"Compra [*MAV300402046] 26.900.000,00@30% (ARS 24hs)",26900000,-22138846.27
BOL 2026123790,2026-07-28,146,COOPERATIVA AGROPECUARIA DE ARMSTRONG LTDA.,MAV,ARS,Subastas ECHEQ,ECHEQ - Subasta,[*MAV300402046] *MAV300402046 Nro. 68430399 Vto. 04/05/2027,COOPERATIVAS,PJ GRANDE,,NO,26900000,21882103.86,205619.18,1535.1218,OK,1,30.0,30,*MAV300402046,26900000.0,2026-07-28,,otro,,-26900000,,20563660.06,ARS,,DIS,[146] COOPERATIVA AGROPECUARIA DE ARMSTRONG LTDA.,"Subasta [*MAV300402046] 26.900.000,00@30% (ARS 24hs)",-26900000,20563660.06
BOL 2026123791,2026-07-28,244,COOP AGR GANADERA LTDA DE ASCENSION,MAV,ARS,Compras ECHEQ,ECHEQ - Compra,[*MAV231001225] *MAV231001225 Nro. 30094727 Vto. 27/10/2026,COOPERATIVAS,PJ GRANDE,,NO,500000000,472064148.99,1232876.71,1535.1218,OK,1,24.0,24,*MAV231001225,500000000.0,2026-07-28,,otro,,500000000,,-473727289.09,ARS,,DIS,[244] COOP AGR GANADERA LTDA DE ASCENSION,"Compra [*MAV231001225] 500.000.000,00@24% (ARS 24hs)",500000000,-473727289.09
BOL 2026123792,2026-07-28,150,COOPERATIVA AGRICOLA GANADERA LIMITADA GUILLERMO LEHMANN,MAV,ARS,Subastas ECHEQ,ECHEQ - Subasta,[*MAV231001225] *MAV231001225 Nro. 30094727 Vto. 27/10/2026,COOPERATIVAS,PJ GRANDE,,NO,500000000,472064148.99,1232876.71,1535.1218,OK,1,24.0,24,*MAV231001225,500000000.0,2026-07-28,,otro,,-500000000,,464363120.89,ARS,,DIS,[150] COOPERATIVA AGRICOLA GANADERA LIMITADA GUILLERMO LEHMANN,"Subasta [*MAV231001225] 500.000.000,00@24% (ARS 24hs)",-500000000,464363120.89
BOL 2026122840,2026-07-27,147,COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UAC220770001] #UAC220770001 Nro. 158309 Vto. 26/07/2027,COOPERATIVAS,PJ GRANDE,,NO,78000,112411265.6,1179103.56,1532.7826,OK,1,5.5,"5,5",#UAC220770001,78000.0,2026-07-27,,otro,,78000,,-113878786.2,ARS,,DIS,[147] COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,"Compra [#UAC220770001] 78.000,00@5,5% (ARS 24hs)",78000,-113878786.2
BOL 2026123070,2026-07-27,1178,IAM FCI DINAMICO ABIERTO PYMES,MAV,ARS,Compras ECHEQ,ECHEQ - Compra,[*CVA021200012] *CVA021200012 Nro. 10450719 Vto. 04/12/2026,INSTITUCIONALES,PJ GRANDE,,NO,50000000,45497606.7,35342.47,1532.7826,OK,1,28.0,28,*CVA021200012,50000000.0,2026-07-27,,otro,,0,,0,ARS,,DIS,[1178] IAM FCI DINAMICO ABIERTO PYMES,"Compra [*CVA021200012] 50.000.000,00@28% (ARS 24hs)",0,0
BOL 2026123071,2026-07-27,1892,SM AGRO S.A.,MAV,ARS,Subastas ECHEQ,ECHEQ - Subasta,[*CVA251100026] *CVA251100026 Nro. 10450717 Vto. 27/11/2026,PRODUCTORES,PJ GRANDE,,NO,50000000,45721014.13,167123.29,1532.7826,OK,1,28.0,28,*CVA251100026,50000000.0,2026-07-27,,otro,,-50000000,,45485601.49,ARS,,DIS,[1892] SM AGRO S.A.,"Subasta [*CVA251100026] 50.000.000,00@28% (ARS 24hs)",-50000000,45485601.49
BOL 2026123072,2026-07-27,1892,SM AGRO S.A.,MAV,ARS,Subastas ECHEQ,ECHEQ - Subasta,[*CVA021200012] *CVA021200012 Nro. 10450719 Vto. 04/12/2026,PRODUCTORES,PJ GRANDE,,NO,50000000,45497606.7,176712.33,1532.7826,OK,1,28.0,28,*CVA021200012,50000000.0,2026-07-27,,otro,,-50000000,,45250753.52,ARS,,DIS,[1892] SM AGRO S.A.,"Subasta [*CVA021200012] 50.000.000,00@28% (ARS 24hs)",-50000000,45250753.52
BOL 2026121799,2026-07-24,243,GRANEROS Y ELEVADORES ARGENTINOS DE COLON SOCIEDAD COOPERATIVA LIMITADA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UDO300770001] #UDO300770001 Nro. 156543 Vto. 03/08/2027,COOPERATIVAS,PJ GRANDE,,NO,26175.51,37069307.1,402830.34,1530.0441,OK,1,6.5,"6,5",#UDO300770001,26175.51,2026-07-24,,otro,,26175.51,,-37570187.97,ARS,,DIS,[243] GRANEROS Y ELEVADORES ARGENTINOS DE COLON SOCIEDAD COOPERATIVA LIMITADA,"Compra [#UDO300770001] 26.175,51@6,5% (ARS 24hs)",26175.51,-37570187.97
BOL 2026121800,2026-07-24,243,GRANEROS Y ELEVADORES ARGENTINOS DE COLON SOCIEDAD COOPERATIVA LIMITADA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UDO230770001] #UDO230770001 Nro. 156542 Vto. 27/07/2027,COOPERATIVAS,PJ GRANDE,,NO,26175.51,37112689.4,395250.2,1530.0441,OK,1,6.5,"6,5",#UDO230770001,26175.51,2026-07-24,,otro,,26175.51,,-37604414.05,ARS,,DIS,[243] GRANEROS Y ELEVADORES ARGENTINOS DE COLON SOCIEDAD COOPERATIVA LIMITADA,"Compra [#UDO230770001] 26.175,51@6,5% (ARS 24hs)",26175.51,-37604414.05
BOL 2026121801,2026-07-24,243,GRANEROS Y ELEVADORES ARGENTINOS DE COLON SOCIEDAD COOPERATIVA LIMITADA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UDO310570001] #UDO310570001 Nro. 158108 Vto. 02/06/2027,COOPERATIVAS,PJ GRANDE,,NO,103625,146300374.88,1311146.79,1530.0441,OK,1,6.5,"6,5",#UDO310570001,103625.0,2026-07-24,,otro,,103625,,-147939969.53,ARS,,DIS,[243] GRANEROS Y ELEVADORES ARGENTINOS DE COLON SOCIEDAD COOPERATIVA LIMITADA,"Compra [#UDO310570001] 103.625,00@6,5% (ARS 24hs)",103625,-147939969.53
BOL 2026121866,2026-07-24,1321,"GUERRINI, JOSE LUIS",MAV,ARS,Subasta Pagares,Pagarés - Subasta,[#UCO200670001] #UCO200670001 Nro. 158081 Vto. 24/06/2027,PRODUCTORES,PH ALTO PATRIMONIO,,NO,10000,14058932.87,205097.87,1530.0441,OK,1,6.5,"6,5",#UCO200670001,10000.0,2026-07-24,,otro,,-10000,,13800557.66,ARS,,DIS,"[1321] GUERRINI, JOSE LUIS","Subasta [#UCO200670001] 10.000,00@6,5% (ARS Inm)",-10000,13800557.66
BOL 2026121867,2026-07-24,243,GRANEROS Y ELEVADORES ARGENTINOS DE COLON SOCIEDAD COOPERATIVA LIMITADA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UCO200670001] #UCO200670001 Nro. 158081 Vto. 24/06/2027,COOPERATIVAS,PJ GRANDE,,NO,10000,14058932.87,136731.91,1530.0441,OK,1,6.5,"6,5",#UCO200670001,10000.0,2026-07-24,,otro,,10000,,-14229481.87,ARS,,DIS,[243] GRANEROS Y ELEVADORES ARGENTINOS DE COLON SOCIEDAD COOPERATIVA LIMITADA,"Compra [#UCO200670001] 10.000,00@6,5% (ARS Inm)",10000,-14229481.87
BOL 2026122136,2026-07-24,147,COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UPO190670003] #UPO190670003 Nro. 158253 Vto. 24/06/2027,COOPERATIVAS,PJ GRANDE,,NO,28300,40347517.1,388694.68,1530.0441,OK,1,6.5,"6,5",#UPO190670003,28300.0,2026-07-24,,otro,,28300,,-40832483.81,ARS,,DIS,[147] COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,"Compra [#UPO190670003] 28.300,00@6,5% (ARS 24hs)",28300,-40832483.81
BOL 2026122137,2026-07-24,147,COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UPO190770002] #UPO190770002 Nro. 158257 Vto. 21/07/2027,COOPERATIVAS,PJ GRANDE,,NO,29000,41158658.9,430701.64,1530.0441,OK,1,6.5,"6,5",#UPO190770002,29000.0,2026-07-24,,otro,,29000,,-41694748.49,ARS,,DIS,[147] COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,"Compra [#UPO190770002] 29.000,00@6,5% (ARS 24hs)",29000,-41694748.49
BOL 2026121286,2026-07-23,243,GRANEROS Y ELEVADORES ARGENTINOS DE COLON SOCIEDAD COOPERATIVA LIMITADA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#URG140470002] #URG140470002 Nro. 158062 Vto. 16/04/2027,COOPERATIVAS,PJ GRANDE,,NO,13500,18955561.6,145692.44,1520.2822,OK,1,7.5,"7,5",#URG140470002,13500.0,2026-07-23,,otro,,13500,,-19138730.32,ARS,,DIS,[243] GRANEROS Y ELEVADORES ARGENTINOS DE COLON SOCIEDAD COOPERATIVA LIMITADA,"Compra [#URG140470002] 13.500,00@7,5% (ARS 24hs)",13500,-19138730.32
BOL 2026121287,2026-07-23,243,GRANEROS Y ELEVADORES ARGENTINOS DE COLON SOCIEDAD COOPERATIVA LIMITADA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UPO310570011] #UPO310570011 Nro. 158099 Vto. 02/06/2027,COOPERATIVAS,PJ GRANDE,,NO,37060,51983203.05,470621.06,1520.2822,OK,1,6.5,"6,5",#UPO310570011,37060.0,2026-07-23,,otro,,37060,,-52571524.43,ARS,,DIS,[243] GRANEROS Y ELEVADORES ARGENTINOS DE COLON SOCIEDAD COOPERATIVA LIMITADA,"Compra [#UPO310570011] 37.060,00@6,5% (ARS 24hs)",37060,-52571524.43
BOL 2026121288,2026-07-23,243,GRANEROS Y ELEVADORES ARGENTINOS DE COLON SOCIEDAD COOPERATIVA LIMITADA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UPO310570012] #UPO310570012 Nro. 158104 Vto. 02/06/2027,COOPERATIVAS,PJ GRANDE,,NO,10000,14026765.51,126988.95,1520.2822,OK,1,6.5,"6,5",#UPO310570012,10000.0,2026-07-23,,otro,,10000,,-14185513.86,ARS,,DIS,[243] GRANEROS Y ELEVADORES ARGENTINOS DE COLON SOCIEDAD COOPERATIVA LIMITADA,"Compra [#UPO310570012] 10.000,00@6,5% (ARS 24hs)",10000,-14185513.86
BOL 2026121289,2026-07-23,150,COOPERATIVA AGRICOLA GANADERA LIMITADA GUILLERMO LEHMANN,MAV,ARS,Subastas ECHEQ,ECHEQ - Subasta,[*MAV221001077] *MAV221001077 Nro. 30094490 Vto. 26/10/2026,COOPERATIVAS,PJ GRANDE,,NO,500000000,468056731.04,1287671.23,1520.2822,OK,1,26.5,"26,5",*MAV221001077,500000000.0,2026-07-23,,otro,,-500000000,,466158839.66,ARS,,DIS,[150] COOPERATIVA AGRICOLA GANADERA LIMITADA GUILLERMO LEHMANN,"Subasta [*MAV221001077] 500.000.000,00@26,5% (ARS 24hs)",-500000000,466158839.66
BOL 2026121290,2026-07-23,853,FCI MAX DINAMICO II,MAV,ARS,Compras ECHEQ,ECHEQ - Compra,[*MAV221001077] *MAV221001077 Nro. 30094490 Vto. 26/10/2026,INSTITUCIONALES,PJ GRANDE,,NO,500000000,468056731.04,257534.25,1520.2822,OK,1,26.5,"26,5",*MAV221001077,500000000.0,2026-07-23,,otro,,0,,0,ARS,,DIS,[853] FCI MAX DINAMICO II,"Compra [*MAV221001077] 500.000.000,00@26,5% (ARS 24hs)",0,0
BOL 2026121291,2026-07-23,243,GRANEROS Y ELEVADORES ARGENTINOS DE COLON SOCIEDAD COOPERATIVA LIMITADA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#URG140470001] #URG140470001 Nro. 158076 Vto. 16/04/2027,COOPERATIVAS,PJ GRANDE,,NO,14000,19657623.27,151088.45,1520.2822,OK,1,7.5,"7,5",#URG140470001,14000.0,2026-07-23,,otro,,14000,,-19847576.02,ARS,,DIS,[243] GRANEROS Y ELEVADORES ARGENTINOS DE COLON SOCIEDAD COOPERATIVA LIMITADA,"Compra [#URG140470001] 14.000,00@7,5% (ARS 24hs)",14000,-19847576.02
BOL 2026119422,2026-07-22,147,COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UDO160770001] #UDO160770001 Nro. 156541 Vto. 20/07/2027,COOPERATIVAS,PJ GRANDE,,NO,26175.51,36885420,389405.53,1514.9385,OK,1,6.5,"6,5",#UDO160770001,26175.51,2026-07-22,,otro,,26175.51,,-37369990.1,ARS,,DIS,[147] COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,"Compra [#UDO160770001] 26.175,51@6,5% (ARS 24hs)",26175.51,-37369990.1
BOL 2026119423,2026-07-22,147,COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UDO090770001] #UDO090770001 Nro. 156539 Vto. 14/07/2027,COOPERATIVAS,PJ GRANDE,,NO,26175.51,36922485,382951.3,1514.9385,OK,1,6.5,"6,5",#UDO090770001,26175.51,2026-07-22,,otro,,26175.51,,-37399258.94,ARS,,DIS,[147] COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,"Compra [#UDO090770001] 26.175,51@6,5% (ARS 24hs)",26175.51,-37399258.94
BOL 2026119643,2026-07-22,147,COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UAC150770001] #UAC150770001 Nro. 157595 Vto. 19/07/2027,COOPERATIVAS,PJ GRANDE,,NO,120000,169916730,1780273.97,1514.9385,OK,1,6.0,6,#UAC150770001,120000.0,2026-07-22,,otro,,120000,,-172132541.27,ARS,,DIS,[147] COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,"Compra [#UAC150770001] 120.000,00@6% (ARS 24hs)",120000,-172132541.27
BOL 2026119644,2026-07-22,147,COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UPO300670009] #UPO300670009 Nro. 157725 Vto. 02/07/2027,COOPERATIVAS,PJ GRANDE,,NO,50000,69930571.37,696340.82,1514.9385,OK,1,6.0,6,#UPO300670009,50000.0,2026-07-22,,otro,,50000,,-70798528.56,ARS,,DIS,[147] COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,"Compra [#UPO300670009] 50.000,00@6% (ARS 24hs)",50000,-70798528.56
BOL 2026119645,2026-07-22,147,COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UPO130570001] #UPO130570001 Nro. 157720 Vto. 17/05/2027,COOPERATIVAS,PJ GRANDE,,NO,50000,70434659.17,603225.48,1514.9385,OK,1,6.0,6,#UPO130570001,50000.0,2026-07-22,,otro,,50000,,-71190129.78,ARS,,DIS,[147] COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,"Compra [#UPO130570001] 50.000,00@6% (ARS 24hs)",50000,-71190129.78
BOL 2026119681,2026-07-22,147,COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UPO160670002] #UPO160670002 Nro. 157723 Vto. 18/06/2027,COOPERATIVAS,PJ GRANDE,,NO,50000,70083217.78,668001.37,1514.9385,OK,1,6.0,6,#UPO160670002,50000.0,2026-07-22,,otro,,50000,,-70916939.65,ARS,,DIS,[147] COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,"Compra [#UPO160670002] 50.000,00@6% (ARS 24hs)",50000,-70916939.65
BOL 2026119682,2026-07-22,147,COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UPO270570003] #UPO270570003 Nro. 157722 Vto. 31/05/2027,COOPERATIVAS,PJ GRANDE,,NO,50000,70280475.95,631564.93,1514.9385,OK,1,6.0,6,#UPO270570003,50000.0,2026-07-22,,otro,,50000,,-71070181.33,ARS,,DIS,[147] COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,"Compra [#UPO270570003] 50.000,00@6% (ARS 24hs)",50000,-71070181.33
BOL 2026119683,2026-07-22,147,COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UPO150770003] #UPO150770003 Nro. 157726 Vto. 19/07/2027,COOPERATIVAS,PJ GRANDE,,NO,50000,69746095.3,730753.01,1514.9385,OK,1,6.0,6,#UPO150770003,50000.0,2026-07-22,,otro,,50000,,-70655624.27,ARS,,DIS,[147] COOPERATIVA AGRICOLA GANADERA DE EL TREBOL LTDA,"Compra [#UPO150770003] 50.000,00@6% (ARS 24hs)",50000,-70655624.27
