boleto,concertacion,id_cuenta,denominacion,mercado,moneda,operacion,tipo_operacion,instrumento,segmento,nivel_3,etapa,es_cierre,cantidad_ops,bruto,arancel,mep,estado_match,n_movimientos,tasa_pct,tasa_raw,cod_instrumento,nominal_info,nm_fecha,nm_ticker,nm_categoria,nm_op,nm_cantidad,nm_precio,nm_importe,nm_moneda,nm_plazo,nm_estado,nm_cuenta,nm_informacion,nm_cantidad_total_boleto,nm_importe_total_boleto
BOL 2026033598,2026-03-05,186,FCI MAF ABIERTO PYMES,MAV,ARS,Subasta Pagares,Pagarés - Subasta,[#UMV281060040] #UMV281060040 Nro. 126387 Vto. 30/10/2026,INSTITUCIONALES,PJ GRANDE,,NO,300000,404578945,550648.02,1433.96,OK,1,6.0,6,#UMV281060040,300000.0,2026-03-05,,otro,,-300000,,403618936.59,ARS,,DIS,[186] FCI MAF ABIERTO PYMES ,"Subasta [#UMV281060040] 300.000,00@6% (ARS Inm)",-300000,403618936.59
BOL 2026033711,2026-03-05,259,"ALLEMAN, RICARDO NOEL",MAV,ARS,Subasta Pagares,Pagarés - Subasta,[#UAC300660008] #UAC300660008 Nro. 141885 Vto. 02/07/2026,PRODUCTORES,PH ALTO PATRIMONIO,,NO,22000,30152394.33,99684.96,1433.96,OK,1,7.0,7,#UAC300660008,22000.0,2026-03-05,,otro,,-22000,,30009884.89,ARS,,DIS,"[259] ALLEMAN, RICARDO NOEL","Subasta [#UAC300660008] 22.000,00@7% (ARS 24hs)",-22000,30009884.89
BOL 2026033712,2026-03-05,164,COOPERATIVA AGROPECUARIA GENERAL PAZ DE MARCOS JUAREZ LIMITADA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UPO050660008] #UPO050660008 Nro. 142015 Vto. 09/06/2026,COOPERATIVAS,PH ALTO PATRIMONIO,,NO,100000,137650095.4,364794.72,1433.96,OK,1,7.0,7,#UPO050660008,100000.0,2026-03-05,,otro,,100000,,-138141464.02,ARS,,DIS,[164] COOPERATIVA AGROPECUARIA GENERAL PAZ DE MARCOS JUAREZ LIMITADA,"Compra [#UPO050660008] 100.000,00@7% (ARS 24hs)",100000,-138141464.02
BOL 2026033713,2026-03-05,164,COOPERATIVA AGROPECUARIA GENERAL PAZ DE MARCOS JUAREZ LIMITADA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UAC300660008] #UAC300660008 Nro. 141885 Vto. 02/07/2026,COOPERATIVAS,PH ALTO PATRIMONIO,,NO,22000,30152394.33,99684.96,1433.96,OK,1,7.0,7,#UAC300660008,22000.0,2026-03-05,,otro,,22000,,-30283958.45,ARS,,DIS,[164] COOPERATIVA AGROPECUARIA GENERAL PAZ DE MARCOS JUAREZ LIMITADA,"Compra [#UAC300660008] 22.000,00@7% (ARS 24hs)",22000,-30283958.45
BOL 2026033714,2026-03-05,164,COOPERATIVA AGROPECUARIA GENERAL PAZ DE MARCOS JUAREZ LIMITADA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UPO070760001] #UPO070760001 Nro. 142017 Vto. 13/07/2026,COOPERATIVAS,PH ALTO PATRIMONIO,,NO,100000,136774220.2,495352.83,1433.96,OK,1,7.0,7,#UPO070760001,100000.0,2026-03-05,,otro,,100000,,-137423246.2,ARS,,DIS,[164] COOPERATIVA AGROPECUARIA GENERAL PAZ DE MARCOS JUAREZ LIMITADA,"Compra [#UPO070760001] 100.000,00@7% (ARS 24hs)",100000,-137423246.2
BOL 2026032729,2026-03-04,164,COOPERATIVA AGROPECUARIA GENERAL PAZ DE MARCOS JUAREZ LIMITADA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UAG270560012] #UAG270560012 Nro. 141788 Vto. 29/05/2026,COOPERATIVAS,PH ALTO PATRIMONIO,,NO,67500,93937161.36,221814.38,1425.9,OK,1,6.0,6,#UAG270560012,67500.0,2026-03-04,,otro,,67500,,-94237761.55,ARS,,DIS,[164] COOPERATIVA AGROPECUARIA GENERAL PAZ DE MARCOS JUAREZ LIMITADA,"Compra [#UAG270560012] 67.500,00@6% (ARS 24hs)",67500,-94237761.55
BOL 2026033024,2026-03-04,1178,IAM FCI DINAMICO ABIERTO PYMES,MAV,ARS,Compras ECHEQ,ECHEQ - Compra,[*MAV130700780] *MAV130700780 Nro. 550745 Vto. 15/07/2026,INSTITUCIONALES,PJ GRANDE,,NO,206160903.7,184478376.7,149113.64,1425.9,OK,1,32.5,"32,5",*MAV130700780,206160903.66,2026-03-04,,otro,,206160903.66,,-184725769.8,ARS,,DIS,[1178] IAM FCI DINAMICO ABIERTO PYMES,"Compra [*MAV130700780] 206.160.903,66@32,5% (ARS 24hs)",206160903.66,-184725769.8
BOL 2026033025,2026-03-04,1726,FRAVEGA S.A.C.I.E.I,MAV,ARS,Subastas ECHEQ,ECHEQ - Subasta,[*MAV130700780] *MAV130700780 Nro. 550745 Vto. 15/07/2026,INSTITUCIONALES,PJ GRANDE,,NO,206160903.7,184478376.7,149113.64,1425.9,OK,1,32.5,"32,5",*MAV130700780,206160903.66,2026-03-04,,otro,,-206160903.66,,184164017.84,ARS,,DIS,[1726] FRAVEGA S.A.C.I.E.I,"Subasta [*MAV130700780] 206.160.903,66@32,5% (ARS 24hs)",-206160903.66,184164017.84
BOL 2026033026,2026-03-04,1726,FRAVEGA S.A.C.I.E.I,MAV,ARS,Subastas ECHEQ,ECHEQ - Subasta,[*MAV130700779] *MAV130700779 Nro. 551391 Vto. 15/07/2026,INSTITUCIONALES,PJ GRANDE,,NO,206160903.7,184478376.7,149113.64,1425.9,OK,1,32.5,"32,5",*MAV130700779,206160903.66,2026-03-04,,otro,,-206160903.66,,184164017.84,ARS,,DIS,[1726] FRAVEGA S.A.C.I.E.I,"Subasta [*MAV130700779] 206.160.903,66@32,5% (ARS 24hs)",-206160903.66,184164017.84
BOL 2026033027,2026-03-04,1178,IAM FCI DINAMICO ABIERTO PYMES,MAV,ARS,Compras ECHEQ,ECHEQ - Compra,[*MAV130700779] *MAV130700779 Nro. 551391 Vto. 15/07/2026,INSTITUCIONALES,PJ GRANDE,,NO,206160903.7,184478376.7,149113.64,1425.9,OK,1,32.5,"32,5",*MAV130700779,206160903.66,2026-03-04,,otro,,206160903.66,,-184725769.8,ARS,,DIS,[1178] IAM FCI DINAMICO ABIERTO PYMES,"Compra [*MAV130700779] 206.160.903,66@32,5% (ARS 24hs)",206160903.66,-184725769.8
